Model,AUC,Experiment
GenePT (Original),0.8010015384195931,output_experiment_residual_proj-attn-cls-residual-emb_bs64_lr0-00015_e2_nhead8_d384_o384_lmb0-0_alpha0-00025_dropout0.5_date20260218_best_checkpoint_mlp19_91787_2026-02-19
GenePT (Proj),0.7783594989642226,output_experiment_residual_proj-attn-cls-residual-emb_bs64_lr0-00015_e2_nhead8_d384_o384_lmb0-0_alpha0-00025_dropout0.5_date20260218_best_checkpoint_mlp19_91787_2026-02-19
Evo2 (Proj),0.7806729728427231,output_experiment_residual_proj-attn-cls-residual-emb_bs64_lr0-00015_e2_nhead8_d384_o384_lmb0-0_alpha0-00025_dropout0.5_date20260218_best_checkpoint_mlp19_91787_2026-02-19
Evo2 (Mean),0.7806729728427231,output_experiment_residual_proj-attn-cls-residual-emb_bs64_lr0-00015_e2_nhead8_d384_o384_lmb0-0_alpha0-00025_dropout0.5_date20260218_best_checkpoint_mlp19_91787_2026-02-19
GenePT Concat (Proj + Original),0.7863040570310216,output_experiment_residual_proj-attn-cls-residual-emb_bs64_lr0-00015_e2_nhead8_d384_o384_lmb0-0_alpha0-00025_dropout0.5_date20260218_best_checkpoint_mlp19_91787_2026-02-19
GenePT Concat + PCA,0.7846418043988005,output_experiment_residual_proj-attn-cls-residual-emb_bs64_lr0-00015_e2_nhead8_d384_o384_lmb0-0_alpha0-00025_dropout0.5_date20260218_best_checkpoint_mlp19_91787_2026-02-19
Evo2 Concat (Proj + Mean),0.7808219453771585,output_experiment_residual_proj-attn-cls-residual-emb_bs64_lr0-00015_e2_nhead8_d384_o384_lmb0-0_alpha0-00025_dropout0.5_date20260218_best_checkpoint_mlp19_91787_2026-02-19
Evo2 Concat + PCA,0.7808164673176443,output_experiment_residual_proj-attn-cls-residual-emb_bs64_lr0-00015_e2_nhead8_d384_o384_lmb0-0_alpha0-00025_dropout0.5_date20260218_best_checkpoint_mlp19_91787_2026-02-19
Cross Concat (Evo2 Proj + GenePT Proj),0.7823179249146659,output_experiment_residual_proj-attn-cls-residual-emb_bs64_lr0-00015_e2_nhead8_d384_o384_lmb0-0_alpha0-00025_dropout0.5_date20260218_best_checkpoint_mlp19_91787_2026-02-19
Original Concat (Evo2 Mean + GenePT Original),0.790827905361513,output_experiment_residual_proj-attn-cls-residual-emb_bs64_lr0-00015_e2_nhead8_d384_o384_lmb0-0_alpha0-00025_dropout0.5_date20260218_best_checkpoint_mlp19_91787_2026-02-19
Gene2vec,0.6668529286010345,output_experiment_residual_proj-attn-cls-residual-emb_bs64_lr0-00015_e2_nhead8_d384_o384_lmb0-0_alpha0-00025_dropout0.5_date20260218_best_checkpoint_mlp19_91787_2026-02-19
Random,0.4790514817997236,output_experiment_residual_proj-attn-cls-residual-emb_bs64_lr0-00015_e2_nhead8_d384_o384_lmb0-0_alpha0-00025_dropout0.5_date20260218_best_checkpoint_mlp19_91787_2026-02-19
