control_gene,control_gene_GenePTembedding,control_description_GenePTembedding
CSNK1G1,"[-0.00503304  0.003892    0.01063004 ... -0.0316606  -0.00390183
 -0.0145581 ]","[-0.01846147 -0.00213638 -0.00720801 ... -0.0154175  -0.01798709
 -0.01145771]"
UNC13A,"[-0.01003779 -0.02998027  0.00921823 ... -0.01891279 -0.00193331
 -0.02936386]","[-0.03589099 -0.01453612  0.0060424  ... -0.01191961 -0.01129853
 -0.01505149]"
TMCO3,"[-0.01633971 -0.02248409  0.00383684 ...  0.0180933  -0.00516223
 -0.02860129]","[-0.00347998 -0.00175307  0.01805404 ...  0.00063206 -0.02284229
 -0.01482263]"
DKK2,"[-0.01920247 -0.01388195 -0.01731193 ... -0.02881721 -0.02305106
  0.00217581]","[-0.03939621 -0.00826582 -0.00406694 ... -0.01050214 -0.02208615
 -0.01124758]"
KCTD2,"[-0.01773551 -0.00249448  0.01851195 ... -0.01212335 -0.01533809
 -0.00453604]","[-0.02685961 -0.01002627 -0.00082908 ... -0.00763656  0.00082496
  0.00142445]"
PLXNB1,"[-0.01387526 -0.00385047  0.01325104 ... -0.01983925 -0.00426774
 -0.01822442]","[-0.0281356   0.00138579  0.01933    ... -0.02215943 -0.00362933
 -0.01676501]"
RN7SL130P,"[-0.00301591  0.00802891 -0.01854489 ... -0.03871178 -0.00817084
 -0.00268813]","[-0.01461826 -0.01120056 -0.00518745 ... -0.02520296 -0.00745802
  0.00497765]"
ENO1-AS1,"[ 0.00763473 -0.01159373 -0.00559304 ... -0.01536618  0.00074145
 -0.02444495]","[-0.02545398 -0.00642958  0.00244826 ... -0.02722492  0.005706
 -0.02014116]"
RNU7-167P,"[-0.00416836 -0.01017134 -0.00491705 ... -0.02556325  0.01679485
 -0.01390802]","[-0.01636774 -0.01658223  0.00419583 ... -0.02235987  0.00115871
 -0.01307677]"
PTPRZ1,"[-0.01317803 -0.0086027  -0.00164554 ...  0.00908216 -0.01401364
 -0.01129447]","[-0.02171298 -0.00516187  0.00066797 ...  0.00074878 -0.02350616
 -0.00010329]"
FBXO28,"[-1.55486409e-02 -9.63798072e-03 -1.85821895e-02 ...  3.06755770e-03
  1.91430099e-05 -1.92351509e-02]","[-0.02514266 -0.01968199 -0.00867553 ...  0.00056718 -0.00764101
 -0.02188197]"
TSACC,"[-0.00169723  0.00444528  0.01089544 ...  0.00087886  0.0035742
 -0.0005764 ]","[-0.02058323 -0.02361096 -0.00164998 ... -0.00756932  0.00927573
  0.0048769 ]"
NCAPH2,"[-0.01038982 -0.00367802  0.0135463  ... -0.00888997 -0.00546761
  0.01008303]","[-0.02431894  0.01380019  0.00507455 ... -0.01280149 -0.01753557
 -0.00280316]"
