reference_gene,reference_gene_GenePTembedding,reference_description_GenePTembedding
ATM,"[-0.04853241 -0.0195451   0.00486907 ... -0.00651045 -0.00061466
 -0.01493411]","[-0.04752329 -0.02873804 -0.01124249 ... -0.0092363  -0.01361344
 -0.00317701]"
ATR,"[-0.04369815 -0.01790196 -0.01034367 ...  0.00281337 -0.00236897
 -0.01406683]","[-4.75202464e-02 -6.44842675e-03 -2.08999868e-02 ... -8.13843290e-05
 -7.83913583e-03 -1.61128666e-03]"
CHEK1,"[-0.01294401 -0.00150974 -0.00892032 ...  0.00016442  0.01303267
 -0.01344868]","[-0.03777657 -0.01354403 -0.0226345  ... -0.00270488  0.00155301
 -0.00112976]"
CHEK2,"[-0.02365346  0.00203409 -0.00752917 ... -0.00183169  0.00454381
 -0.00933725]","[-0.03148861 -0.0149433  -0.02123315 ... -0.0011974  -0.01302615
 -0.00655575]"
RB1,"[ 0.00311515 -0.02168613 -0.00703908 ... -0.0373133  -0.01906789
  0.01084306]","[-0.04077324 -0.02084519 -0.02328215 ... -0.00445794 -0.01548649
  0.02020319]"
MDM2,"[-0.03213239 -0.00696202 -0.02662972 ... -0.00901715 -0.02466161
  0.00481316]","[-0.05069543 -0.00847743 -0.01754041 ... -0.00760562 -0.01202975
 -0.00141345]"
BRCA2,"[-0.03738425 -0.02527122 -0.01209293 ... -0.00575503 -0.02200177
 -0.00501137]","[-0.03943034 -0.00638244 -0.02438762 ...  0.00326747 -0.01683382
 -0.00226971]"
PALB2,"[-0.02510594 -0.00017446  0.02693305 ... -0.02032837 -0.01065818
 -0.00582647]","[-0.05167237 -0.00527042 -0.00163599 ... -0.00875139 -0.02443857
  0.00023409]"
BARD1,"[-0.01151101 -0.0110619  -0.01421948 ... -0.02819023 -0.02017536
 -0.01161465]","[-0.04707543 -0.02490106 -0.02300307 ... -0.00650595 -0.03386972
 -0.00180108]"
RAD51,"[-0.02320974 -0.00196943 -0.01876769 ... -0.02209923 -0.01339558
 -0.01351357]","[-0.05368793 -0.02206532 -0.02218283 ... -0.00070464 -0.02083802
 -0.00011169]"
ABCC4,"[-0.02015979 -0.01942143  0.0037709  ... -0.02348239 -0.01499129
 -0.01857759]","[-0.01528191 -0.01744619 -0.00148959 ... -0.04489556 -0.02842594
 -0.00959408]"
ABCC2,"[-0.02041979 -0.02125409 -0.00229603 ... -0.02282694 -0.02089848
 -0.01689112]","[-0.01357173 -0.00880788 -0.00070632 ... -0.04962778 -0.03036299
 -0.00261586]"
SLC9A3,"[-0.01896371  0.00580829  0.01030693 ... -0.0264418  -0.00492428
 -0.01160348]","[-0.00632107  0.01822032  0.019276   ... -0.03060179 -0.00796976
 -0.01799875]"
HBA1,"[-0.01637231 -0.02451847 -0.00535967 ... -0.02786493  0.00194988
 -0.00175822]","[-0.0208567  -0.0131723  -0.00552089 ... -0.03007797 -0.00451499
 -0.00986768]"
HBA2,"[-0.02935298 -0.0245774  -0.0065042  ... -0.02559978 -0.00918121
  0.0022045 ]","[-0.02210196 -0.01312635 -0.00601128 ... -0.02918728 -0.00534704
 -0.0091012 ]"
HBD,"[-0.00460725 -0.02261742 -0.00696799 ... -0.00984277 -0.00414716
  0.00431216]","[-0.03413737 -0.02417831 -0.00539856 ... -0.02018351 -0.00769627
  0.00766135]"
HBG1,"[-0.00464011 -0.00958822 -0.02441246 ... -0.03789757 -0.00138098
 -0.00463341]","[-0.01171508 -0.01855711 -0.0236804  ... -0.05349821  0.01238677
  0.00594644]"
BCL11A,"[-0.02253124 -0.02362801  0.00270977 ... -0.03412183 -0.00844921
 -0.01791396]","[-0.03956091 -0.01732909 -0.00430945 ... -0.03194602 -0.01666409
  0.00013141]"
