target_gene,target_name_GenePTembedding,target_description_GenePTembedding
TP53,"[-0.02812712 -0.02880741  0.00575625 ... -0.00070563 -0.00561561
 -0.00297297]","[-0.03157945 -0.02399986 -0.00518603 ... -0.00146943 -0.0165361
  0.00477745]"
BRCA1,"[-0.02893766 -0.0256769  -0.02048871 ... -0.00673606 -0.01547214
 -0.01256782]","[-0.03986181 -0.00817428 -0.022901   ... -0.00868232 -0.02675692
 -0.00014502]"
CFTR,"[-0.03002132 -0.0183843  -0.01423213 ...  0.0328896   0.00576387
 -0.01951795]","[-0.02046665 -0.00575056 -0.00135393 ... -0.00256158 -0.02837244
 -0.01285342]"
HBB,"[-0.01766844 -0.02857318 -0.02138157 ... -0.01628809  0.00251396
 -0.00116294]","[-0.01823345 -0.01092571 -0.00492734 ... -0.03032814  0.00376489
 -0.00237061]"
APOE,"[ 0.00175955 -0.00061881  0.00135734 ... -0.02051857  0.00319698
 -0.02469394]","[-0.03343358  0.00209452 -0.0035264  ... -0.02115186 -0.01569331
 -0.02225406]"
EGFR,"[-0.02690916 -0.01469479 -0.00301002 ... -0.03201747  0.00762225
 -0.00866805]","[-0.04124489 -0.01497961 -0.02621432 ... -0.03625169 -0.00083034
 -0.0059358 ]"
MYC,"[-0.01787887 -0.02631487 -0.00856526 ... -0.00399349  0.0023301
 -0.01639577]","[-0.04821786 -0.02979015 -0.01801909 ... -0.01323421 -0.00964884
 -0.00450148]"
AKT1,"[-0.02429395 -0.02972777 -0.0066505  ... -0.00491616  0.00937731
 -0.00626143]","[-0.04058703 -0.04127886 -0.01917891 ... -0.01516889 -0.00331499
 -0.00615596]"
SRC,"[ 0.00452893 -0.01708579 -0.00244435 ... -0.02858449 -0.01611228
 -0.00232443]","[-0.03037352 -0.0288403  -0.02278675 ... -0.00929842 -0.01664067
  0.01461841]"
MAPK3,"[-0.03704365 -0.01392078 -0.01215617 ... -0.0094243  -0.00606502
 -0.00444092]","[-0.04419659 -0.02888599 -0.0189341  ... -0.02142208 -0.00571915
 -0.00172404]"
