,target_gene,category,class,gene_descriptor,genomic_location_GRCh38,refseq_examples,similar_genes_functional,key_pathways,drug_associated_interactions,reference_gene,reference_gene_GenePTembedding,reference_description_GenePTembedding,target_name_GenePTembedding,target_description_GenePTembedding,reference_gene_description,target_gene_description
0,AKT1,Gene-to-Gene interaction hubs,Interaction hub (serine/threonine kinase),"PI3K-activated kinase controlling proliferation, survival and metabolism; germline mosaic and somatic oncogenic roles.",14q32.33,,"['AKT2', 'AKT3', 'PIK3CA', 'PTEN', 'MTOR']",,,AKT2,"[-0.03004799 -0.03082881 -0.00561717 ... -0.01028525  0.00082751
  0.0003151 ]","[-0.04248535 -0.03062777 -0.02192876 ... -0.01589641 -0.009877
  0.00747571]","[-0.02429395 -0.02972777 -0.0066505  ... -0.00491616  0.00937731
 -0.00626143]","[-0.04058703 -0.04127886 -0.01917891 ... -0.01516889 -0.00331499
 -0.00615596]","Gene Symbol AKT2 This gene is a putative oncogene encoding a protein belonging to a subfamily of serine/threonine kinases containing SH2-like (Src homology 2-like) domains, which is involved in signaling pathways. The gene serves as an oncogene in the tumorigenesis of cancer cells For example, its overexpression contributes to the malignant phenotype of a subset of human ductal pancreatic cancers. The encoded protein is a general protein kinase capable of phophorylating several known proteins, and has also been implicated in insulin signaling.","Gene Symbol AKT1 This gene encodes one of the three members of the human AKT serine-threonine protein kinase family which are often referred to as protein kinase B alpha, beta, and gamma. These highly similar AKT proteins all have an N-terminal pleckstrin homology domain, a serine/threonine-specific kinase domain and a C-terminal regulatory domain. These proteins are phosphorylated by phosphoinositide 3-kinase (PI3K). AKT/PI3K forms a key component of many signalling pathways that involve the binding of membrane-bound ligands such as receptor tyrosine kinases, G-protein coupled receptors, and integrin-linked kinase. These AKT proteins therefore regulate a wide variety of cellular functions including cell proliferation, survival, metabolism, and angiogenesis in both normal and malignant cells. AKT proteins are recruited to the cell membrane by phosphatidylinositol 3,4,5-trisphosphate (PIP3) after phosphorylation of phosphatidylinositol 4,5-bisphosphate (PIP2) by PI3K. Subsequent phosphorylation of both threonine residue 308 and serine residue 473 is required for full activation of the AKT1 protein encoded by this gene. Phosphorylation of additional residues also occurs, for example, in response to insulin growth factor-1 and epidermal growth factor. Protein phosphatases act as negative regulators of AKT proteins by dephosphorylating AKT or PIP3. The PI3K/AKT signalling pathway is crucial for tumor cell survival. Survival factors can suppress apoptosis in a transcription-independent manner by activating AKT1 which then phosphorylates and inactivates components of the apoptotic machinery. AKT proteins also participate in the mammalian target of rapamycin (mTOR) signalling pathway which controls the assembly of the eukaryotic translation initiation factor 4F (eIF4E) complex and this pathway, in addition to responding to extracellular signals from growth factors and cytokines, is disregulated in many cancers. Mutations in this gene are associated with multiple types of cancer and excessive tissue growth including Proteus syndrome and Cowden syndrome 6, and breast, colorectal, and ovarian cancers. Multiple alternatively spliced transcript variants have been found for this gene."
1,AKT1,Gene-to-Gene interaction hubs,Interaction hub (serine/threonine kinase),"PI3K-activated kinase controlling proliferation, survival and metabolism; germline mosaic and somatic oncogenic roles.",14q32.33,,"['AKT2', 'AKT3', 'PIK3CA', 'PTEN', 'MTOR']",,,AKT3,"[-0.03211277 -0.0309744  -0.00346146 ... -0.01037113  0.01011963
 -0.01092046]","[-0.04788892 -0.04410283 -0.006146   ... -0.01554087 -0.0040547
 -0.00829486]","[-0.02429395 -0.02972777 -0.0066505  ... -0.00491616  0.00937731
 -0.00626143]","[-0.04058703 -0.04127886 -0.01917891 ... -0.01516889 -0.00331499
 -0.00615596]","Gene Symbol AKT3 The protein encoded by this gene is a member of the AKT, also called PKB, serine/threonine protein kinase family. AKT kinases are known to be regulators of cell signaling in response to insulin and growth factors. They are involved in a wide variety of biological processes including cell proliferation, differentiation, apoptosis, tumorigenesis, as well as glycogen synthesis and glucose uptake. This kinase has been shown to be stimulated by platelet-derived growth factor (PDGF), insulin, and insulin-like growth factor 1 (IGF1). Alternatively splice transcript variants encoding distinct isoforms have been described.","Gene Symbol AKT1 This gene encodes one of the three members of the human AKT serine-threonine protein kinase family which are often referred to as protein kinase B alpha, beta, and gamma. These highly similar AKT proteins all have an N-terminal pleckstrin homology domain, a serine/threonine-specific kinase domain and a C-terminal regulatory domain. These proteins are phosphorylated by phosphoinositide 3-kinase (PI3K). AKT/PI3K forms a key component of many signalling pathways that involve the binding of membrane-bound ligands such as receptor tyrosine kinases, G-protein coupled receptors, and integrin-linked kinase. These AKT proteins therefore regulate a wide variety of cellular functions including cell proliferation, survival, metabolism, and angiogenesis in both normal and malignant cells. AKT proteins are recruited to the cell membrane by phosphatidylinositol 3,4,5-trisphosphate (PIP3) after phosphorylation of phosphatidylinositol 4,5-bisphosphate (PIP2) by PI3K. Subsequent phosphorylation of both threonine residue 308 and serine residue 473 is required for full activation of the AKT1 protein encoded by this gene. Phosphorylation of additional residues also occurs, for example, in response to insulin growth factor-1 and epidermal growth factor. Protein phosphatases act as negative regulators of AKT proteins by dephosphorylating AKT or PIP3. The PI3K/AKT signalling pathway is crucial for tumor cell survival. Survival factors can suppress apoptosis in a transcription-independent manner by activating AKT1 which then phosphorylates and inactivates components of the apoptotic machinery. AKT proteins also participate in the mammalian target of rapamycin (mTOR) signalling pathway which controls the assembly of the eukaryotic translation initiation factor 4F (eIF4E) complex and this pathway, in addition to responding to extracellular signals from growth factors and cytokines, is disregulated in many cancers. Mutations in this gene are associated with multiple types of cancer and excessive tissue growth including Proteus syndrome and Cowden syndrome 6, and breast, colorectal, and ovarian cancers. Multiple alternatively spliced transcript variants have been found for this gene."
2,AKT1,Gene-to-Gene interaction hubs,Interaction hub (serine/threonine kinase),"PI3K-activated kinase controlling proliferation, survival and metabolism; germline mosaic and somatic oncogenic roles.",14q32.33,,"['AKT2', 'AKT3', 'PIK3CA', 'PTEN', 'MTOR']",,,PIK3CA,"[-0.02699393 -0.02939167  0.01544352 ...  0.01481185 -0.00786356
 -0.01632011]","[-0.02431542 -0.0204641  -0.00202734 ... -0.00219894 -0.00686373
 -0.00610428]","[-0.02429395 -0.02972777 -0.0066505  ... -0.00491616  0.00937731
 -0.00626143]","[-0.04058703 -0.04127886 -0.01917891 ... -0.01516889 -0.00331499
 -0.00615596]","Gene Symbol PIK3CA Phosphatidylinositol 3-kinase is composed of an 85 kDa regulatory subunit and a 110 kDa catalytic subunit. The protein encoded by this gene represents the catalytic subunit, which uses ATP to phosphorylate PtdIns, PtdIns4P and PtdIns(4,5)P2. This gene has been found to be oncogenic and has been implicated in cervical cancers. A pseudogene of this gene has been defined on chromosome 22.","Gene Symbol AKT1 This gene encodes one of the three members of the human AKT serine-threonine protein kinase family which are often referred to as protein kinase B alpha, beta, and gamma. These highly similar AKT proteins all have an N-terminal pleckstrin homology domain, a serine/threonine-specific kinase domain and a C-terminal regulatory domain. These proteins are phosphorylated by phosphoinositide 3-kinase (PI3K). AKT/PI3K forms a key component of many signalling pathways that involve the binding of membrane-bound ligands such as receptor tyrosine kinases, G-protein coupled receptors, and integrin-linked kinase. These AKT proteins therefore regulate a wide variety of cellular functions including cell proliferation, survival, metabolism, and angiogenesis in both normal and malignant cells. AKT proteins are recruited to the cell membrane by phosphatidylinositol 3,4,5-trisphosphate (PIP3) after phosphorylation of phosphatidylinositol 4,5-bisphosphate (PIP2) by PI3K. Subsequent phosphorylation of both threonine residue 308 and serine residue 473 is required for full activation of the AKT1 protein encoded by this gene. Phosphorylation of additional residues also occurs, for example, in response to insulin growth factor-1 and epidermal growth factor. Protein phosphatases act as negative regulators of AKT proteins by dephosphorylating AKT or PIP3. The PI3K/AKT signalling pathway is crucial for tumor cell survival. Survival factors can suppress apoptosis in a transcription-independent manner by activating AKT1 which then phosphorylates and inactivates components of the apoptotic machinery. AKT proteins also participate in the mammalian target of rapamycin (mTOR) signalling pathway which controls the assembly of the eukaryotic translation initiation factor 4F (eIF4E) complex and this pathway, in addition to responding to extracellular signals from growth factors and cytokines, is disregulated in many cancers. Mutations in this gene are associated with multiple types of cancer and excessive tissue growth including Proteus syndrome and Cowden syndrome 6, and breast, colorectal, and ovarian cancers. Multiple alternatively spliced transcript variants have been found for this gene."
3,AKT1,Gene-to-Gene interaction hubs,Interaction hub (serine/threonine kinase),"PI3K-activated kinase controlling proliferation, survival and metabolism; germline mosaic and somatic oncogenic roles.",14q32.33,,"['AKT2', 'AKT3', 'PIK3CA', 'PTEN', 'MTOR']",,,PTEN,"[-0.02818697 -0.0183189   0.0072567  ...  0.01354234 -0.0009932
 -0.0239353 ]","[-0.04014727 -0.00919073  0.00626817 ... -0.00321482  0.00206517
 -0.00789899]","[-0.02429395 -0.02972777 -0.0066505  ... -0.00491616  0.00937731
 -0.00626143]","[-0.04058703 -0.04127886 -0.01917891 ... -0.01516889 -0.00331499
 -0.00615596]","Gene Symbol PTEN This gene was identified as a tumor suppressor that is mutated in a large number of cancers at high frequency. The protein encoded by this gene is a phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase. It contains a tensin like domain as well as a catalytic domain similar to that of the dual specificity protein tyrosine phosphatases. Unlike most of the protein tyrosine phosphatases, this protein preferentially dephosphorylates phosphoinositide substrates. It negatively regulates intracellular levels of phosphatidylinositol-3,4,5-trisphosphate in cells and functions as a tumor suppressor by negatively regulating AKT/PKB signaling pathway. The use of a non-canonical (CUG) upstream initiation site produces a longer isoform that initiates translation with a leucine, and is thought to be preferentially associated with the mitochondrial inner membrane. This longer isoform may help regulate energy metabolism in the mitochondria. A pseudogene of this gene is found on chromosome 9. Alternative splicing and the use of multiple translation start codons results in multiple transcript variants encoding different isoforms.","Gene Symbol AKT1 This gene encodes one of the three members of the human AKT serine-threonine protein kinase family which are often referred to as protein kinase B alpha, beta, and gamma. These highly similar AKT proteins all have an N-terminal pleckstrin homology domain, a serine/threonine-specific kinase domain and a C-terminal regulatory domain. These proteins are phosphorylated by phosphoinositide 3-kinase (PI3K). AKT/PI3K forms a key component of many signalling pathways that involve the binding of membrane-bound ligands such as receptor tyrosine kinases, G-protein coupled receptors, and integrin-linked kinase. These AKT proteins therefore regulate a wide variety of cellular functions including cell proliferation, survival, metabolism, and angiogenesis in both normal and malignant cells. AKT proteins are recruited to the cell membrane by phosphatidylinositol 3,4,5-trisphosphate (PIP3) after phosphorylation of phosphatidylinositol 4,5-bisphosphate (PIP2) by PI3K. Subsequent phosphorylation of both threonine residue 308 and serine residue 473 is required for full activation of the AKT1 protein encoded by this gene. Phosphorylation of additional residues also occurs, for example, in response to insulin growth factor-1 and epidermal growth factor. Protein phosphatases act as negative regulators of AKT proteins by dephosphorylating AKT or PIP3. The PI3K/AKT signalling pathway is crucial for tumor cell survival. Survival factors can suppress apoptosis in a transcription-independent manner by activating AKT1 which then phosphorylates and inactivates components of the apoptotic machinery. AKT proteins also participate in the mammalian target of rapamycin (mTOR) signalling pathway which controls the assembly of the eukaryotic translation initiation factor 4F (eIF4E) complex and this pathway, in addition to responding to extracellular signals from growth factors and cytokines, is disregulated in many cancers. Mutations in this gene are associated with multiple types of cancer and excessive tissue growth including Proteus syndrome and Cowden syndrome 6, and breast, colorectal, and ovarian cancers. Multiple alternatively spliced transcript variants have been found for this gene."
4,AKT1,Gene-to-Gene interaction hubs,Interaction hub (serine/threonine kinase),"PI3K-activated kinase controlling proliferation, survival and metabolism; germline mosaic and somatic oncogenic roles.",14q32.33,,"['AKT2', 'AKT3', 'PIK3CA', 'PTEN', 'MTOR']",,,MTOR,"[-0.03198018 -0.05226364 -0.01736617 ...  0.01563231 -0.00710059
  0.00079727]","[-0.04339543 -0.03100414 -0.01806847 ... -0.00307028 -0.01230704
 -0.01503545]","[-0.02429395 -0.02972777 -0.0066505  ... -0.00491616  0.00937731
 -0.00626143]","[-0.04058703 -0.04127886 -0.01917891 ... -0.01516889 -0.00331499
 -0.00615596]","Gene Symbol MTOR The protein encoded by this gene belongs to a family of phosphatidylinositol kinase-related kinases. These kinases mediate cellular responses to stresses such as DNA damage and nutrient deprivation. This kinase is a component of two distinct complexes, mTORC1, which controls protein synthesis, cell growth and proliferation, and mTORC2, which is a regulator of the actin cytoskeleton, and promotes cell survival and cell cycle progression. This protein acts as the target for the cell-cycle arrest and immunosuppressive effects of the FKBP12-rapamycin complex. Inhibitors of mTOR are used in organ transplants as immunosuppressants, and are being evaluated for their therapeutic potential in SARS-CoV-2 infections. Mutations in this gene are associated with Smith-Kingsmore syndrome and somatic focal cortical dysplasia type II. The ANGPTL7 gene is located in an intron of this gene.","Gene Symbol AKT1 This gene encodes one of the three members of the human AKT serine-threonine protein kinase family which are often referred to as protein kinase B alpha, beta, and gamma. These highly similar AKT proteins all have an N-terminal pleckstrin homology domain, a serine/threonine-specific kinase domain and a C-terminal regulatory domain. These proteins are phosphorylated by phosphoinositide 3-kinase (PI3K). AKT/PI3K forms a key component of many signalling pathways that involve the binding of membrane-bound ligands such as receptor tyrosine kinases, G-protein coupled receptors, and integrin-linked kinase. These AKT proteins therefore regulate a wide variety of cellular functions including cell proliferation, survival, metabolism, and angiogenesis in both normal and malignant cells. AKT proteins are recruited to the cell membrane by phosphatidylinositol 3,4,5-trisphosphate (PIP3) after phosphorylation of phosphatidylinositol 4,5-bisphosphate (PIP2) by PI3K. Subsequent phosphorylation of both threonine residue 308 and serine residue 473 is required for full activation of the AKT1 protein encoded by this gene. Phosphorylation of additional residues also occurs, for example, in response to insulin growth factor-1 and epidermal growth factor. Protein phosphatases act as negative regulators of AKT proteins by dephosphorylating AKT or PIP3. The PI3K/AKT signalling pathway is crucial for tumor cell survival. Survival factors can suppress apoptosis in a transcription-independent manner by activating AKT1 which then phosphorylates and inactivates components of the apoptotic machinery. AKT proteins also participate in the mammalian target of rapamycin (mTOR) signalling pathway which controls the assembly of the eukaryotic translation initiation factor 4F (eIF4E) complex and this pathway, in addition to responding to extracellular signals from growth factors and cytokines, is disregulated in many cancers. Mutations in this gene are associated with multiple types of cancer and excessive tissue growth including Proteus syndrome and Cowden syndrome 6, and breast, colorectal, and ovarian cancers. Multiple alternatively spliced transcript variants have been found for this gene."
5,APOE,Genome importance → disease,Disease risk gene (neurodegeneration),Lipoprotein involved in cholesterol transport; ε2/ε3/ε4 isoforms modulate Alzheimer’s disease risk and onset.,19q13.32,,"['APOA1', 'APOB', 'APOC3', 'LDLR', 'LRP1']",,"[{'drug_name': 'Atorvastatin', 'mechanism': 'HMG-CoA reductase inhibitor; modulates LDL-C and may impact APOE-related phenotypes', 'smiles': 'CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4'}]",APOA1,"[-0.01050792  0.00443282 -0.01231042 ... -0.00635883  0.00307761
 -0.02556883]","[-0.02282804  0.02351314 -0.00145503 ... -0.02287974 -0.00411383
 -0.02405605]","[ 0.00175955 -0.00061881  0.00135734 ... -0.02051857  0.00319698
 -0.02469394]","[-0.03343358  0.00209452 -0.0035264  ... -0.02115186 -0.01569331
 -0.02225406]","Gene Symbol APOA1 This gene encodes apolipoprotein A-I, which is the major protein component of high density lipoprotein (HDL) in plasma. The encoded preproprotein is proteolytically processed to generate the mature protein, which promotes cholesterol efflux from tissues to the liver for excretion, and is a cofactor for lecithin cholesterolacyltransferase (LCAT), an enzyme responsible for the formation of most plasma cholesteryl esters. This gene is closely linked with two other apolipoprotein genes on chromosome 11. Defects in this gene are associated with HDL deficiencies, including Tangier disease, and with systemic non-neuropathic amyloidosis. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein.","Gene Symbol APOE The protein encoded by this gene is a major apoprotein of the chylomicron. It binds to a specific liver and peripheral cell receptor, and is essential for the normal catabolism of triglyceride-rich lipoprotein constituents. This gene maps to chromosome 19 in a cluster with the related apolipoprotein C1 and C2 genes. Mutations in this gene result in familial dysbetalipoproteinemia, or type III hyperlipoproteinemia (HLP III), in which increased plasma cholesterol and triglycerides are the consequence of impaired clearance of chylomicron and VLDL remnants."
6,APOE,Genome importance → disease,Disease risk gene (neurodegeneration),Lipoprotein involved in cholesterol transport; ε2/ε3/ε4 isoforms modulate Alzheimer’s disease risk and onset.,19q13.32,,"['APOA1', 'APOB', 'APOC3', 'LDLR', 'LRP1']",,"[{'drug_name': 'Atorvastatin', 'mechanism': 'HMG-CoA reductase inhibitor; modulates LDL-C and may impact APOE-related phenotypes', 'smiles': 'CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4'}]",APOB,"[-0.01114556 -0.03342329  0.00074134 ... -0.02084607  0.00181968
 -0.01644404]","[-0.03782135 -0.00201496 -0.00577754 ... -0.0329437  -0.02161034
 -0.01490683]","[ 0.00175955 -0.00061881  0.00135734 ... -0.02051857  0.00319698
 -0.02469394]","[-0.03343358  0.00209452 -0.0035264  ... -0.02115186 -0.01569331
 -0.02225406]","Gene Symbol APOB This gene product is the main apolipoprotein of chylomicrons and low density lipoproteins (LDL), and is the ligand for the LDL receptor. It occurs in plasma as two main isoforms, apoB-48 and apoB-100: the former is synthesized exclusively in the gut and the latter in the liver. The intestinal and the hepatic forms of apoB are encoded by a single gene from a single, very long mRNA. The two isoforms share a common N-terminal sequence. The shorter apoB-48 protein is produced after RNA editing of the apoB-100 transcript at residue 2180 (CAA->UAA), resulting in the creation of a stop codon, and early translation termination. Mutations in this gene or its regulatory region cause hypobetalipoproteinemia, normotriglyceridemic hypobetalipoproteinemia, and hypercholesterolemia due to ligand-defective apoB, diseases affecting plasma cholesterol and apoB levels.","Gene Symbol APOE The protein encoded by this gene is a major apoprotein of the chylomicron. It binds to a specific liver and peripheral cell receptor, and is essential for the normal catabolism of triglyceride-rich lipoprotein constituents. This gene maps to chromosome 19 in a cluster with the related apolipoprotein C1 and C2 genes. Mutations in this gene result in familial dysbetalipoproteinemia, or type III hyperlipoproteinemia (HLP III), in which increased plasma cholesterol and triglycerides are the consequence of impaired clearance of chylomicron and VLDL remnants."
7,APOE,Genome importance → disease,Disease risk gene (neurodegeneration),Lipoprotein involved in cholesterol transport; ε2/ε3/ε4 isoforms modulate Alzheimer’s disease risk and onset.,19q13.32,,"['APOA1', 'APOB', 'APOC3', 'LDLR', 'LRP1']",,"[{'drug_name': 'Atorvastatin', 'mechanism': 'HMG-CoA reductase inhibitor; modulates LDL-C and may impact APOE-related phenotypes', 'smiles': 'CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4'}]",APOC3,"[-0.00403973 -0.00508607  0.00594616 ...  0.00388735 -0.00924431
 -0.01380213]","[-0.03883414 -0.00280228 -0.00131786 ... -0.01553624 -0.01038121
 -0.02642843]","[ 0.00175955 -0.00061881  0.00135734 ... -0.02051857  0.00319698
 -0.02469394]","[-0.03343358  0.00209452 -0.0035264  ... -0.02115186 -0.01569331
 -0.02225406]","Gene Symbol APOC3 This gene encodes a protein component of triglyceride (TG)-rich lipoproteins (TRLs) including very low density lipoproteins (VLDL), high density lipoproteins (HDL) and chylomicrons. The encoded protein plays a role in role in the metabolism of these TRLs through multiple modes. This protein has been shown to promote the secretion of VLDL1, inhibit lipoprotein lipase enzyme activity, and delay catabolism of TRL remnants. Mutations in this gene are associated with low plasma triglyceride levels and reduced risk of ischemic cardiovascular disease, and hyperalphalipoproteinemia, which is characterized by elevated levels of high density lipoprotein (HDL) and HDL cholesterol in human patients. This gene and other related genes comprise an apolipoprotein gene cluster on chromosome 11.","Gene Symbol APOE The protein encoded by this gene is a major apoprotein of the chylomicron. It binds to a specific liver and peripheral cell receptor, and is essential for the normal catabolism of triglyceride-rich lipoprotein constituents. This gene maps to chromosome 19 in a cluster with the related apolipoprotein C1 and C2 genes. Mutations in this gene result in familial dysbetalipoproteinemia, or type III hyperlipoproteinemia (HLP III), in which increased plasma cholesterol and triglycerides are the consequence of impaired clearance of chylomicron and VLDL remnants."
8,APOE,Genome importance → disease,Disease risk gene (neurodegeneration),Lipoprotein involved in cholesterol transport; ε2/ε3/ε4 isoforms modulate Alzheimer’s disease risk and onset.,19q13.32,,"['APOA1', 'APOB', 'APOC3', 'LDLR', 'LRP1']",,"[{'drug_name': 'Atorvastatin', 'mechanism': 'HMG-CoA reductase inhibitor; modulates LDL-C and may impact APOE-related phenotypes', 'smiles': 'CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4'}]",LDLR,"[-0.01789032  0.00319914 -0.01178884 ... -0.0223491   0.00239331
 -0.0045485 ]","[-0.04215081  0.01215585 -0.01301755 ... -0.0217595  -0.01109024
 -0.0160894 ]","[ 0.00175955 -0.00061881  0.00135734 ... -0.02051857  0.00319698
 -0.02469394]","[-0.03343358  0.00209452 -0.0035264  ... -0.02115186 -0.01569331
 -0.02225406]","Gene Symbol LDLR The low density lipoprotein receptor (LDLR) gene family consists of cell surface proteins involved in receptor-mediated endocytosis of specific ligands. The encoded protein is normally bound at the cell membrane, where it binds low density lipoprotein/cholesterol and is taken into the cell. Lysosomes release the cholesterol, which is made available for repression of microsomal enzyme 3-hydroxy-3-methylglutaryl coenzyme A (HMG CoA) reductase, the rate-limiting step in cholesterol synthesis. At the same time, a reciprocal stimulation of cholesterol ester synthesis takes place. Mutations in this gene cause the autosomal dominant disorder, familial hypercholesterolemia. Alternate splicing results in multiple transcript variants.","Gene Symbol APOE The protein encoded by this gene is a major apoprotein of the chylomicron. It binds to a specific liver and peripheral cell receptor, and is essential for the normal catabolism of triglyceride-rich lipoprotein constituents. This gene maps to chromosome 19 in a cluster with the related apolipoprotein C1 and C2 genes. Mutations in this gene result in familial dysbetalipoproteinemia, or type III hyperlipoproteinemia (HLP III), in which increased plasma cholesterol and triglycerides are the consequence of impaired clearance of chylomicron and VLDL remnants."
9,APOE,Genome importance → disease,Disease risk gene (neurodegeneration),Lipoprotein involved in cholesterol transport; ε2/ε3/ε4 isoforms modulate Alzheimer’s disease risk and onset.,19q13.32,,"['APOA1', 'APOB', 'APOC3', 'LDLR', 'LRP1']",,"[{'drug_name': 'Atorvastatin', 'mechanism': 'HMG-CoA reductase inhibitor; modulates LDL-C and may impact APOE-related phenotypes', 'smiles': 'CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4'}]",LRP1,"[-0.00844663  0.01631948 -0.01483831 ... -0.0115891   0.01098863
 -0.01165582]","[-0.02813974  0.0150131  -0.00471288 ... -0.01874672 -0.01095197
 -0.01835371]","[ 0.00175955 -0.00061881  0.00135734 ... -0.02051857  0.00319698
 -0.02469394]","[-0.03343358  0.00209452 -0.0035264  ... -0.02115186 -0.01569331
 -0.02225406]","Gene Symbol LRP1 This gene encodes a member of the low-density lipoprotein receptor family of proteins. The encoded preproprotein is proteolytically processed by furin to generate 515 kDa and 85 kDa subunits that form the mature receptor (PMID: 8546712). This receptor is involved in several cellular processes, including intracellular signaling, lipid homeostasis, and clearance of apoptotic cells. In addition, the encoded protein is necessary for the alpha 2-macroglobulin-mediated clearance of secreted amyloid precursor protein and beta-amyloid, the main component of amyloid plaques found in Alzheimer patients. Expression of this gene decreases with age and has been found to be lower than controls in brain tissue from Alzheimer's disease patients.","Gene Symbol APOE The protein encoded by this gene is a major apoprotein of the chylomicron. It binds to a specific liver and peripheral cell receptor, and is essential for the normal catabolism of triglyceride-rich lipoprotein constituents. This gene maps to chromosome 19 in a cluster with the related apolipoprotein C1 and C2 genes. Mutations in this gene result in familial dysbetalipoproteinemia, or type III hyperlipoproteinemia (HLP III), in which increased plasma cholesterol and triglycerides are the consequence of impaired clearance of chylomicron and VLDL remnants."
